Participant ID,Output Position,Output Tube ID,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
115019678,A01,1049311856,92.35,2.08,1.6,0.03,1.15,1.85,0.89
115017737,B01,1049311894,17.65,2.16,0.22,0.02,1.59,0.35,0.16
112005399,C01,1049311871,77.17,2,1.53,0.06,1.01,1.54,0.77
112005384,D01,1049311904,55.98,2.06,1.54,0.07,0.72,1.12,0.54
112005379,E01,1049311852,121.26,1.99,1.96,0.05,1.24,2.43,1.22
112003516,F01,1049311886,24.81,2.16,1.01,0.03,0.49,0.5,0.23
112003513,G01,1049311850,84.73,1.99,1.15,0.04,1.47,1.69,0.85
112002403,H01,1049311898,45.62,2.1,1.01,0.03,0.9,0.91,0.44
111001673,A02,1049311825,11.96,2.15,0.36,0.06,0.66,0.24,0.11
111000994,B02,1049311903,31.49,2.06,1.11,0.06,0.57,0.63,0.31
210011863,C02,1049311876,33.01,2.09,0.87,0.05,0.76,0.66,0.32
QCNC173,D02,1049311899,1.27,2.56,0.03,0.02,0.73,0.03,0.01
