Participant ID,Output Position,Output Tube ID,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
210011204,A01,1049312016,56.36,2.03,1.54,0.05,0.91,1.41,0.69
210011202,B01,1049312017,120.9,2.01,1.65,0.06,1.83,3.02,1.51
210010606,C01,1049312018,199.85,2.02,1.82,0.14,2.75,5,2.47
210010588,D01,1049312019,80.52,2.08,1.17,0.09,1.73,2.01,0.97
114001365,E01,1049312032,104.39,2.05,1.46,0.07,1.79,2.61,1.27
114001347,F01,1049312033,34.49,2.07,0.57,0.09,1.52,0.86,0.42
114000566,G01,1049312034,37.02,2.04,1.07,0.07,0.87,0.93,0.45
114000330,H01,1049312035,35.14,2.05,0.24,0.05,3.7,0.88,0.43
112001923,A02,1049312024,18.89,2.09,0.36,0.04,1.32,0.47,0.23
111001276,B02,1049312025,19.28,2.01,0.77,0.05,0.63,0.48,0.24
112003437,C02,1049312026,118.13,2.1,1.14,0.11,2.59,2.95,1.41
QCNC208,D02,1049312027,2.97,1.88,0.02,0.05,3.07,0.07,0.04
blank_13,,E2,0,-,-,0,0,0,0
