Participant ID,Output Position,Output Tube ID,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
119000072,A5,1049312052,52.47,1.95,2.59,0.02,0.51,1.31,0.67
117000109,B5,1049312053,23.13,1.93,0.12,-0.02,4.87,0.58,0.3
117000071,C5,1049312054,18.57,1.83,0.66,0.05,0.7,0.46,0.25
114001880,D5,1049312055,123.38,1.92,2.17,0.08,1.42,3.08,1.61
114001849,E5,1049312056,58.6,2.01,1.08,0.04,1.36,1.47,0.73
114000453,F5,1049312057,68.82,1.99,1.58,0.07,1.09,1.72,0.86
112001814,G5,1049312058,70.88,2.02,1.75,0.05,1.01,1.77,0.88
112001812,H5,1049312059,42.83,1.98,2.05,0.06,0.52,1.07,0.54
112001799,A6,1049312060,8.71,1.9,0.6,0.02,0.36,0.22,0.11
111004040,B6,1049312061,69.44,2,1.87,0.03,0.93,1.74,0.87
111004032,C6,1049312062,102.26,2.07,1.96,0.05,1.31,2.56,1.24
QCNC190,D6,1049312063,0.38,0.29,0.04,0.03,0.25,0.01,0.03
