Project,ParticipantID,ParentSampleID,SampleID,ProcessedDateTime,SourceSampleType,Method,AliquotCount,Volume,VolumeUnit,Concentration,ConcentrationUnit,Analyzer,OD260/280,OD260/230
RTB-IMI,L003687G,UKBC9002797_H02,4022421001,03/03/2022 12:04:52,Blood,Chemagen,1,150.0,ul,47.28,ng/ul,Trinean Dropsense,2.03,2.35
RTB-IMI,L001692N,UKBC9002595_H08,4024711033,16/02/2022 11:39:45,Blood,Chemagen,1,150.0,ul,81.87,ng/ul,Trinean Dropsense,1.97,2.36
RTB-IMI,L002337P,UKBC9002779_D07,4024676653,08/02/2022 12:21:54,Blood,Chemagen,1,150.0,ul,94.37,ng/ul,Trinean Dropsense,1.95,2.33
RTB-IMI,L004089T,UKBC9002803_H03,1049371463,10/03/2022 11:40:48,Blood,Chemagen,1,150.0,ul,84.03,ng/ul,Trinean Dropsense,2.01,2.22
RTB-IMI,L003720S,UKBC9002783_F06,4013243118,10/02/2022 12:14:59,Blood,Chemagen,1,150.0,ul,75.51,ng/ul,Trinean Dropsense,2.01,1.88
RTB-IMI,L004026A,UKBC9002783_C11,4013243155,10/02/2022 12:14:59,Blood,Chemagen,1,150.0,ul,84.47,ng/ul,Trinean Dropsense,2,2.3
RTB-IMI,L002851Y,UKBC9002842_E06,4017153557,24/02/2022 12:01:55,Blood,Chemagen,1,150.0,ul,142.2,ng/ul,Trinean Dropsense,1.98,2.06
RTB-IMI,L000893V,UKBC9002634_H01,4024668319,07/01/2022 12:29:13,Blood,Chemagen,1,150.0,ul,100.5,ng/ul,Trinean Dropsense,2,2.3
RTB-IMI,L003749Z,UKBC9002801_E06,4015632077,09/03/2022 11:24:12,Blood,Chemagen,1,150.0,ul,78.8,ng/ul,Trinean Dropsense,1.94,2.08
RTB-IMI,L002078H,UKBC9002738_C04,4015652795,01/02/2022 12:28:56,Blood,Chemagen,1,150.0,ul,53.02,ng/ul,Trinean Dropsense,2.05,2.43
RTB-IMI,L003284T,UKBC9002850_E05,1049345364,14/03/2022 11:50:27,Blood,Chemagen,1,150.0,ul,108.08,ng/ul,Trinean Dropsense,1.93,2.22
