Project,ParticipantID,ParentSampleID,SampleID,ProcessedDateTime,SourceSampleType,Method,AliquotCount,Volume,VolumeUnit,Concentration,ConcentrationUnit,Analyzer,OD260/280,OD260/230
RTB-NAF,F000718E,UKBC9002731_C04,1049502986,20/01/2022 11:25:45,Blood,Chemagen,1,150.0,ul,98.9,ng/ul,Trinean Dropsense,1.94,2.05
RTB-NAF,F001278N,UKBC9002737_B08,4024684147,31/01/2022 11:50:09,Blood,Chemagen,1,150.0,ul,53.9,ng/ul,Trinean Dropsense,1.95,2.16
RTB-NAF,F001496A,UKBC9002817_B07,4015676146,18/02/2022 11:52:03,Blood,Chemagen,1,150.0,ul,54.71,ng/ul,Trinean Dropsense,2.01,1.84
RTB-NAF,F000537H,UKBC9002595_C05,4024711004,16/02/2022 11:39:45,Blood,Chemagen,1,150.0,ul,89.78,ng/ul,Trinean Dropsense,1.92,1.57
RTB-NAF,F001139M,UKBC9002817_A04,4015676121,18/02/2022 11:52:03,Blood,Chemagen,1,150.0,ul,55.09,ng/ul,Trinean Dropsense,1.9,2.07
RTB-NAF,F001517Y,UKBC9003135_A04,4017445809,21/03/2022 14:12:39,Blood,Chemagen,1,150.0,ul,105.01,ng/ul,Trinean Dropsense,1.92,2.24
RTB-NAF,F001368L,UKBC9002728_B02,4024738531,27/01/2022 11:49:45,Blood,Chemagen,1,150.0,ul,114.71,ng/ul,Trinean Dropsense,1.93,2.24
RTB-NAF,F001214T,UKBC9002861_A05,4017177545,25/02/2022 13:12:41,Blood,Chemagen,1,150.0,ul,123.77,ng/ul,Trinean Dropsense,2,2.02
RTB-NAF,F000911P,UKBC9002787_C09,4022440348,14/02/2022 11:28:18,Blood,Chemagen,1,150.0,ul,78.48,ng/ul,Trinean Dropsense,1.95,2.17
RTB-NAF,F000662T,UKBC9002775_D06,4022416931,04/02/2022 11:20:05,Blood,Chemagen,1,150.0,ul,104.07,ng/ul,Trinean Dropsense,1.91,29.89
RTB-NAF,F001155E,UKBC9002783_B11,4013243154,10/02/2022 12:14:59,Blood,Chemagen,1,150.0,ul,70.45,ng/ul,Trinean Dropsense,2.08,2.16
RTB-NAF,K026270D,UKBC9002861_E08,4017177573,25/02/2022 13:12:41,Blood,Chemagen,1,150.0,ul,95.37,ng/ul,Trinean Dropsense,1.98,2.21
RTB-NAF,F001500E,UKBC9002805_F03,4015789398,11/03/2022 11:10:42,Blood,Chemagen,1,150.0,ul,99.78,ng/ul,Trinean Dropsense,2.01,1.94
RTB-NAF,F001264Y,UKBC9002797_G01,4022420992,03/03/2022 12:04:52,Blood,Chemagen,1,150.0,ul,96.08,ng/ul,Trinean Dropsense,1.99,2.17
RTB-NAF,F000184Z,UKBC9002775_G02,1049538268,04/02/2022 11:20:05,Blood,Chemagen,1,150.0,ul,78.87,ng/ul,Trinean Dropsense,1.97,-6.96
RTB-NAF,K045270F,UKBC9002728_F11,4024738607,27/01/2022 11:49:45,Blood,Chemagen,1,150.0,ul,71.17,ng/ul,Trinean Dropsense,2.01,2.15
RTB-NAF,F001514V,UKBC9003171_E08,4032391814,24/03/2022 13:44:37,Blood,Chemagen,1,150.0,ul,97.53,ng/ul,Trinean Dropsense,1.97,2.52
RTB-NAF,F001210P,UKBC9002787_E01,4022440286,14/02/2022 11:28:18,Blood,Chemagen,1,150.0,ul,127.11,ng/ul,Trinean Dropsense,1.94,2.06
RTB-NAF,F001265Z,UKBC9002787_F06,4022440327,14/02/2022 11:28:18,Blood,Chemagen,1,150.0,ul,92.09,ng/ul,Trinean Dropsense,1.91,2.27
RTB-NAF,F001102X,UKBC9002737_D08,4024684149,31/01/2022 11:50:09,Blood,Chemagen,1,150.0,ul,71.05,ng/ul,Trinean Dropsense,1.96,2.21
RTB-NAF,F000443F,UKBC9002735_E03,4022420142,25/01/2022 13:39:58,Blood,Chemagen,1,150.0,ul,56.16,ng/ul,Trinean Dropsense,1.99,2.45
RTB-NAF,F001198B,UKBC9002737_B06,4024684131,31/01/2022 11:50:09,Blood,Chemagen,1,150.0,ul,64.54,ng/ul,Trinean Dropsense,1.92,2.24
RTB-NAF,F001370N,UKBC9002737_A08,4024684146,31/01/2022 11:50:09,Blood,Chemagen,1,150.0,ul,88.36,ng/ul,Trinean Dropsense,1.94,2.25
RTB-NAF,F001444T,UKBC9002805_A09,4015789441,11/03/2022 11:10:42,Blood,Chemagen,1,150.0,ul,110.65,ng/ul,Trinean Dropsense,2.01,2.26
RTB-NAF,F000386T,UKBC9002775_A08,4024676968,04/02/2022 11:20:05,Blood,Chemagen,1,150.0,ul,55.11,ng/ul,Trinean Dropsense,2.08,-2.77
RTB-NAF,F000941X,UKBC9002735_A12,4022420210,25/01/2022 13:39:58,Blood,Chemagen,1,150.0,ul,70.14,ng/ul,Trinean Dropsense,2,2.05
RTB-NAF,F001202F,UKBC9002772_E03,4024691886,07/02/2022 11:30:37,Blood,Chemagen,1,150.0,ul,110.38,ng/ul,Trinean Dropsense,1.96,2.18
RTB-NAF,F000539K,UKBC9002861_C08,4017177571,25/02/2022 13:12:41,Blood,Chemagen,1,150.0,ul,175.3,ng/ul,Trinean Dropsense,1.95,2.22
RTB-NAF,F000606H,UKBC9002787_G01,4022440288,14/02/2022 11:28:18,Blood,Chemagen,1,150.0,ul,100.27,ng/ul,Trinean Dropsense,1.93,2.28
RTB-NAF,F001195Y,UKBC9002688_A11,4032279989,14/01/2022 11:32:39,Blood,Chemagen,1,150.0,ul,87,ng/ul,Trinean Dropsense,2.02,2.28
RTB-NAF,F001152B,UKBC9002779_G11,4024676688,08/02/2022 12:21:54,Blood,Chemagen,1,150.0,ul,74.49,ng/ul,Trinean Dropsense,1.99,2.16
RTB-NAF,F000914S,UKBC9002842_B04,4017153538,24/02/2022 12:01:55,Blood,Chemagen,1,150.0,ul,121.44,ng/ul,Trinean Dropsense,1.97,2.22
RTB-NAF,F001290B,UKBC9002686_C04,4015691291,12/01/2022 11:38:24,Blood,Chemagen,1,150.0,ul,94.94,ng/ul,Trinean Dropsense,1.93,1.95
RTB-NAF,F001293E,UKBC9002686_H03,4015691288,12/01/2022 11:38:24,Blood,Chemagen,1,150.0,ul,166.8,ng/ul,Trinean Dropsense,1.95,2.31
RTB-NAF,F001164P,UKBC9002842_B06,4017153554,24/02/2022 12:01:55,Blood,Chemagen,1,150.0,ul,154.22,ng/ul,Trinean Dropsense,1.95,2.26
RTB-NAF,F000847V,UKBC9002861_B02,4017177522,25/02/2022 13:12:41,Blood,Chemagen,1,150.0,ul,99.77,ng/ul,Trinean Dropsense,1.96,1.84
RTB-NAF,F001649R,UKBC9003144_B10,4032392595,22/03/2022 12:30:14,Blood,Chemagen,1,150.0,ul,53.9,ng/ul,Trinean Dropsense,2.3,2.58
RTB-NAF,F000573X,UKBC9002686_H05,4015691304,12/01/2022 11:38:24,Blood,Chemagen,1,150.0,ul,102.16,ng/ul,Trinean Dropsense,1.92,2.16
RTB-NAF,F001692N,UKBC9003175_E07,4032389214,25/03/2022 12:55:46,Blood,Chemagen,1,150.0,ul,50.53,ng/ul,Trinean Dropsense,2.32,2.74
RTB-NAF,F001101W,UKBC9002730_H07,4015690072,17/01/2022 13:25:56,Blood,Chemagen,1,150.0,ul,73.27,ng/ul,Trinean Dropsense,1.8,1.71
RTB-NAF,F001071N,UKBC9002738_F12,4015652862,01/02/2022 12:28:56,Blood,Chemagen,1,150.0,ul,62.74,ng/ul,Trinean Dropsense,2.09,2.32
RTB-NAF,K044670D,UKBC9002817_D10,4015676172,18/02/2022 11:52:03,Blood,Chemagen,1,150.0,ul,51.77,ng/ul,Trinean Dropsense,2.03,2.32
RTB-NAF,F001637D,UKBC9003171_B05,4032391787,24/03/2022 13:44:37,Blood,Chemagen,1,150.0,ul,83.31,ng/ul,Trinean Dropsense,1.96,2.37
RTB-NAF,F001796B,UKBC9002805_D09,4015789444,11/03/2022 11:10:42,Blood,Chemagen,1,150.0,ul,115.34,ng/ul,Trinean Dropsense,2.06,2.35
RTB-NAF,F001072P,UKBC9002738_G10,4015652847,01/02/2022 12:28:56,Blood,Chemagen,1,150.0,ul,77.69,ng/ul,Trinean Dropsense,2.01,2.37
RTB-NAF,F001446W,UKBC9003215_F05,4015654342,28/03/2022 12:34:09,Blood,Chemagen,1,150.0,ul,65.5,ng/ul,Trinean Dropsense,2,2.14
RTB-NAF,K040016V,UKBC9002817_D06,4015676140,18/02/2022 11:52:03,Blood,Chemagen,1,150.0,ul,93.53,ng/ul,Trinean Dropsense,1.93,2.16
RTB-NAF,F001307V,UKBC9002735_G03,4022420144,25/01/2022 13:39:58,Blood,Chemagen,1,150.0,ul,56.47,ng/ul,Trinean Dropsense,1.89,1.53
